iter	Passed	Remaining
409	96288	138561
410	96491	138281
411	96800	138151
412	97017	137892
413	97338	137777
414	97668	137676
415	97866	137389
416	97967	136966
417	98062	136536
418	98148	136096
419	98245	135671
420	98338	135244
421	98483	134889
422	98686	134614
423	98935	134402
424	99139	134130
425	99508	134079
426	99708	133800
427	100080	133752
428	100361	133580
429	100594	133346
430	100771	133036
431	101075	132895
432	101190	132506
433	101407	132250
434	101591	131952
435	101921	131843
436	102114	131557
437	102309	131273
438	102468	130945
439	102792	130827
440	102963	130514
441	103147	130218
442	103347	129942
443	103429	129520
444	103594	129202
445	103712	128827
446	103900	128539
447	104046	128199
448	104268	127955
449	104548	127781
450	104789	127559
451	105132	127461
452	105503	127395
453	105794	127233
454	106031	127005
455	106285	126796
456	106485	126524
457	106715	126287
458	107185	126333
459	107517	126216
460	107645	125859
461	107853	125595
462	107954	125208
463	108110	124886
464	108266	124564
465	108554	124395
466	108753	124123
467	108991	123895
468	109098	123520
469	109195	123135
470	109369	122837
471	109516	122510
472	109683	122205
473	109835	121885
474	109982	121559
475	110137	121243
476	110342	120983
477	110583	120762
478	110726	120434
479	110989	120238
480	111220	120007
481	111429	119751
482	111532	119383
483	111641	119023
484	111783	118698
485	111856	118300
486	111976	117954
487	112232	117752
488	112468	117528
489	112576	117171
490	112785	116920
491	112977	116652
492	113122	116334
493	113228	115979
494	113305	115594
495	113346	115174
496	113457	114827
497	113571	114484
498	113826	114282
499	114169	114169
500	114470	114013
501	114569	113656
502	114664	113296
503	114852	113029
1	112919
505	115427	112689
506	115755	112559
507	115909	112258
508	116138	112031
509	116394	111829
510	116646	111624
511	116868	111390
744513	1513513	114959514	1166514	115126515	1169515	115360516	1170516	115597517	1172517	115785	1077518518	115981	1074519519	116339	1073520520	116545	1071521	116719	106881
522522	117013	1067523	117175	106441
69
524	117399	106218
61	107020
526	118908	106724
55	103478
528	116069	103343
529	116323	103154
530	116583	102971
531	116747	102702
532	116934	102454
533	117071	102163
534	117202	101867
535	117377	101609
536	117635	101424
537	117857	101208
538	118108	101017
539	118352	100819
540	118551	100582
541	118741	100338
542	118867	100041
543	118964	99720
544	119091	99425
545	119262	99166
546	119410	98889
547	119613	98659
	85906
567	112613	85649
568	112800	85443
569	113227	85417
570	113513	85284
571	113618	85015
572	113813	84813
573	114058	84649
574	114284	84470
575	114571	84337
576	114899	84233
577	115185	84097
578	115451	83946
579	115560	83681
580	115749	83475
581	115911	83249
582	116169	83091
583	116421	82930
584	116600	82716
585	116763	82491
586	117005	82322
587	117187	82111
588	117342	81880
589	117493	81648
590	117654	81422
591	117792	81181
592	118016	80999
593	118283	80846
594	118437	80617
595	118595	80390
596	118758	80166
597	119121	80078
598	119285	79855
599	119553	79702
600	119862	79575
601	120033	79357
602	120268	79181
603	120462	78978
604	120653	78773
605	120814	78549
606	120940	78302
607	121212	78149
608	121396	77940
609	121789	77865
610	122114	77745
611	122304	77539
612	122585	77390
613	122787	77191
614	122897	76935
615	123337	76885
616	123653	76757
617	124005	76650
618	124165	76425
619	124462	76283
620	124885	76218
621	125079	76012
622	125269	75804
623	125476	75607
624	125755	75453
625	126151	75368
626	126408	75199
627	126585	74983
628	126756	74764
629	126999	74586
630	127156	74359
631	127375	74168
632	127683	74028
633	127898	73834
634	128023	73588
635	128180	73360
636	128441	73193
637	128662	73002
638	128889	72815
639	129205	72678
640	129372	72456
641	129581	72258
642	129771	72050
643	130088	71912
644	130273	71700
645	130395	71454
646	130566	71236
647	130773	71037
648	131006	70852
649	131243	70669
650	131366	70425
651	131656	70270
652	131906	70094
653	132294	69990
654	132504	69792
655	132753	69614
656	132827	69345
657	133134	69197
658	133347	69000
659	133547	68797
660	133896	68670
661	134061	68448
662	134226	68226
663	134402	68010
664	134525	67768
665	134661	67532
666	134828	67312
667	134923	67057
668	135050	66818
669	135186	66584
670	135362	66369
671	135641	66205
672	135830	65998
673	135985	65773
674	136199	65577
675	136436	65392
676	136653	65197
677	136815	64977
678	137050	64791
679	137207	64568
680	137314	64322
681	137529	64126
682	137743	63930
683	137882	63700
684	138050	63483
685	138238	63275
686	138393	63052
687	138744	62918
688	138968	62727
689	139298	62583
690	139560	62408
4	137417	63192
685	137584	62975
686	137890	62823
687	138200	62672
