iter	MultiClass
0	1.426629934
1	1.27790968
2	1.161064424
3	1.06324646
4	0.9621298448
5	0.8968651708
6	0.8273489381
7	0.7773382694
8	0.720150138
9	0.6733274894
10	0.6276453434
11	0.5791263635
12	0.5459898193
13	0.5121421241
14	0.4826269408
15	0.4551286539
16	0.4296727613
17	0.4073295854
18	0.3865333248
19	0.3647830811
20	0.3442545242
21	0.3267243674
22	0.3100346626
23	0.2936844741
24	0.2790889261
25	0.2659183249
26	0.2533725439
27	0.2422268612
28	0.2324023274
29	0.22029525
30	0.209346893
31	0.2008927917
32	0.193899316
33	0.18462477
34	0.1768393946
35	0.1683345967
36	0.1615748882
37	0.1553751404
38	0.149132789
39	0.1433218756
40	0.1371360781
41	0.1317143089
42	0.1261052529
43	0.1223143371
44	0.1187685929
45	0.1140749986
46	0.1093827399
47	0.1059480772
48	0.1032315396
49	0.1004328902
50	0.09756196596
51	0.09505117091
52	0.09250879999
53	0.08996862396
54	0.08712009854
55	0.08453921471
56	0.08220127482
57	0.07924958149
58	0.07732504483
59	0.07502053538
60	0.07301238444
61	0.07115077107
62	0.06938145911
63	0.06687880298
64	0.06534413666
65	0.06323064541
66	0.06177208777
67	0.06006341491
68	0.05878937804
69	0.05711133112
70	0.05574200348
71	0.054307074
72	0.05300161306
73	0.05196135703
74	0.05097135439
75	0.04983086022
76	0.04860226498
77	0.04738817222
78	0.04650724687
79	0.04522686186
80	0.04402148958
81	0.04260973627
82	0.04162307846
83	0.04084779943
84	0.03979497686
85	0.03909479346
86	0.03833148131
87	0.03755958774
88	0.03674923784
89	0.03576554814
90	0.03495178953
91	0.03443634275
92	0.03365873424
93	0.03303182666
94	0.03232579252
95	0.03173702252
96	0.0311877852
97	0.03057962438
98	0.02993241669
99	0.02939051822
100	0.02880304854
101	0.02835076947
102	0.02787265136
103	0.02747316424
104	0.02704128088
105	0.02652625641
106	0.0261679644
107	0.02573052666
108	0.02546089157
109	0.02514340432
110	0.02479796167
111	0.02444537743
112	0.02412214389
113	0.02373934998
114	0.02346514561
115	0.02309503998
116	0.0228026653
117	0.02254257116
118	0.022170584
119	0.02193863178
120	0.02165891915
121	0.02134372011
122	0.0210556927
123	0.02083338496
124	0.02048267484
125	0.02021277209
126	0.01989409394
127	0.01962888039
128	0.01936584168
129	0.01916016795
130	0.018921847
131	0.01868270313
132	0.01845523998
133	0.0182415055
134	0.01800806008
135	0.01784673598
136	0.01765842025
137	0.01744796955
138	0.01729391854
139	0.01711473466
140	0.01695864877
141	0.01676160954
142	0.01653825083
143	0.01634102263
144	0.01617186161
145	0.01604059936
146	0.01590462922
147	0.01575919371
148	0.01561511624
